name,position,start
João Salgueiro,Ministro das Finanças,1981-09-04
Alberto Ralha,Secretário de Estado do Ensino Superior,1981-09-08
Luís Nandim de Carvalho,Secretário de Estado do Turismo,1981-09-08
Marcelo Rebelo de Sousa,Ministro dos Assuntos Parlamentares,1982-06-12
Eduardo Pereira,Ministro da Administração Interna,1983-06-09
António Coimbra Martins,Ministro da Cultura,1983-06-09
Carlos Mota Pinto,Ministro da Defesa Nacional,1983-06-09
Rui Machete,Ministro da Justiça,1983-06-09
António Maldonado Gonelha,Ministro da Saúde,1983-06-09
Carlos Melancia,Ministro do Mar,1983-06-09
António de Almeida Santos,Ministro dos Assuntos Parlamentares,1983-06-09
Jaime Gama,Ministro dos Negócios Estrangeiros,1983-06-09
Mário Soares,Primeiro-Ministro de Portugal,1983-06-09
Carlos Pimenta,Secretário de Estado do Ambiente,1983-06-18
Joaquim Ferreira do Amaral,Secretário de Estado do Turismo,1983-06-18
Rui Machete,Ministro da Defesa Nacional,1985-02-15
João de Deus Pinheiro,Ministro da Educação,1985-02-15
Mário Raposo,Ministro da Justiça,1985-02-15
Leonardo Ribeiro de Almeida,Ministro da Defesa Nacional,1985-11-06
Mário Raposo,Ministro da Justiça,1985-11-06
Leonor Beleza,Ministro da Saúde,1985-11-06
Miguel Cadilhe,Ministro das Finanças,1985-11-06
Pedro Pires de Miranda,Ministro dos Negócios Estrangeiros,1985-11-06
Aníbal Cavaco Silva,Primeiro-Ministro de Portugal,1985-11-06
José Silveira Godinho,Ministro da Administração Interna,1987-08-17
Roberto Carneiro,Ministro da Educação,1987-08-17
Fernando Nogueira,Ministro da Justiça,1987-08-17
João de Deus Pinheiro,Ministro dos Negócios Estrangeiros,1987-08-17
Alberto Ralha,Secretário de Estado do Ensino Superior,1987-08-18
Manuel Dias Loureiro,Ministro dos Assuntos Parlamentares,1989-07-24
Manuel Pereira,Ministro da Administração Interna,1990-01-05
Manuel Pereira,Ministro da Administração Interna,1990-01-05
Carlos de Brito,Ministro da Defesa Nacional,1990-01-05
Carlos de Brito,Ministro da Defesa Nacional,1990-01-05
Arlindo de Carvalho,Ministro da Saúde,1990-01-05
Arlindo de Carvalho,Ministro da Saúde,1990-01-05
Miguel Beleza,Ministro das Finanças,1990-01-05
Miguel Beleza,Ministro das Finanças,1990-01-05
Fernando Nogueira,Ministro da Defesa Nacional,1990-03-05
Fernando Nogueira,Ministro da Defesa Nacional,1990-03-05
Álvaro Laborinho Lúcio,Ministro da Justiça,1990-03-05
Álvaro Laborinho Lúcio,Ministro da Justiça,1990-03-05
Alfredo César Torres,Secretário de Estado do Turismo,1990-04-24
Alfredo César Torres,Secretário de Estado do Turismo,1990-04-24
Manuel Dias Loureiro,Ministro da Administração Interna,1991-10-31
Diamantino Durão,Ministro da Educação,1991-10-31
Álvaro Laborinho Lúcio,Ministro da Justiça,1991-10-31
Jorge Braga de Macedo,Ministro das Finanças,1991-10-31
António Couto dos Santos,Ministro da Educação,1992-03-19
José Manuel Durão Barroso,Ministro dos Negócios Estrangeiros,1992-11-12
Paulo Mendo,Ministro da Saúde,1993-12-07
Eduardo Catroga,Ministro das Finanças,1993-12-07
José Falcão e Cunha,Ministro para a Qualificação e o Emprego,1993-12-07
António Figueiredo Lopes,Ministro da Defesa Nacional,1995-03-16
Paulo Teixeira Pinto,Secretário de Estado da Presidência do Conselho de Ministros,1995-03-16
Alberto Costa,Ministro da Administração Interna,1995-10-28
Mariano Gago,"Ministro da Ciência, Tecnologia e Ensino Superior",1995-10-28
António Vitorino,Ministro da Defesa Nacional,1995-10-28
Marçal Grilo,Ministro da Educação,1995-10-28
José Vera Jardim,Ministro da Justiça,1995-10-28
Maria de Belém Roseira,Ministro da Saúde,1995-10-28
Elisa Ferreira,Ministro do Ambiente,1995-10-28
Henrique de Oliveira Constantino,Ministro do Equipamento Social,1995-10-28
Jaime Gama,Ministro dos Negócios Estrangeiros,1995-10-28
Maria João Rodrigues,Ministro para a Qualificação e o Emprego,1995-10-28
António Guterres,Primeiro-Ministro de Portugal,1995-10-28
Francisco Seixas da Costa,Secretário de Estado dos Assuntos Europeus,1995-10-28
Marcelo de Sousa Vasconcelos,Secretário de Estado das Pescas,1995-10-30
Manuela Arcanjo,Secretário de Estado do Orçamento,1995-10-30
Francisco Luís Murteira Nabo,Ministro do Equipamento Social,1995-12-27
José Luís Lopes da Mota,Secretário de Estado da Justiça,1996-03-27
Catarina Vaz Pinto,Secretário de Estado da Cultura,1997-09-25
José Veiga Simão,Ministro da Defesa Nacional,1997-11-25
António Costa,Ministro dos Assuntos Parlamentares,1997-11-25
Eduardo Ferro Rodrigues,Ministro para a Qualificação e o Emprego,1997-11-25
Vítor Cabrita Neto,Secretário de Estado do Turismo,1997-11-28
Luís Capoulas Santos,Ministro da Agricultura,1998-10-03
Vítor Barros,Secretário de Estado do Desenvolvimento Rural,1998-10-03
Jaime Gama,Ministro da Defesa Nacional,1999-05-29
Fernando Gomes,Ministro da Administração Interna,1999-10-25
Mariano Gago,"Ministro da Ciência, Tecnologia e Ensino Superior",1999-10-25
Júlio Castro Caldas,Ministro da Defesa Nacional,1999-10-25
António Costa,Ministro da Justiça,1999-10-25
Manuela Arcanjo,Ministro da Saúde,1999-10-25
José Sócrates,Ministro do Ambiente,1999-10-25
Elisa Ferreira,Ministro do Planeamento,1999-10-25
Maria de Belém Roseira,Ministro para a Igualdade,1999-10-25
Catarina Vaz Pinto,Secretário de Estado da Cultura,1999-10-28
Ana Benavente,Secretário de Estado da Educação,1999-10-28
João Nuno Mendes,Secretário de Estado do Planeamento,1999-10-28
Pedro Adão e Silva,adjunto do Gabinete do Secretário de Estado do Trabalho e Formação,1999-11-25
José Sasportes,Ministro da Cultura,2000-07-12
José Sasportes,Ministro da Cultura,2000-07-12
Nuno Severiano Teixeira,Ministro da Administração Interna,2000-09-14
Nuno Severiano Teixeira,Ministro da Administração Interna,2000-09-14
Augusto Santos Silva,Ministro da Educação,2000-09-14
Augusto Santos Silva,Ministro da Educação,2000-09-14
Luís Patrão,Secretário de Estado da Administração Interna,2000-09-18
Luís Patrão,Secretário de Estado da Administração Interna,2000-09-18
Luís Medeiros Vieira,Secretário de Estado da Agricultura,2000-09-18
Luís Medeiros Vieira,Secretário de Estado da Agricultura,2000-09-18
Augusto Santos Silva,Ministro da Cultura,2001-07-03
Rui Pena,Ministro da Defesa Nacional,2001-07-03
António Correia de Campos,Ministro da Saúde,2001-07-03
Guilherme d'Oliveira Martins,Ministro das Finanças,2001-07-03
José Sócrates,Ministro do Equipamento Social,2002-01-23
António Figueiredo Lopes,Ministro da Administração Interna,2002-04-06
Paulo Portas,Ministro da Defesa Nacional,2002-04-06
David Justino,Ministro da Educação,2002-04-06
Celeste Cardona,Ministro da Justiça,2002-04-06
Luís Filipe Pereira,Ministro da Saúde,2002-04-06
Manuela Ferreira Leite,Ministro das Finanças,2002-04-06
Isaltino Morais,Ministro do Ambiente,2002-04-06
Luís Marques Mendes,Ministro dos Assuntos Parlamentares,2002-04-06
António Martins da Cruz,Ministro dos Negócios Estrangeiros,2002-04-06
José Manuel Durão Barroso,Primeiro-Ministro de Portugal,2002-04-06
Teresa Patrício Gouveia,Ministro dos Negócios Estrangeiros,2003-10-09
Daniel Sanches,Ministro da Administração Interna,2004-07-17
Maria do Carmo Seabra,Ministro da Educação,2004-07-17
José Pedro Aguiar Branco,Ministro da Justiça,2004-07-17
António Monteiro,Ministro dos Negócios Estrangeiros,2004-07-17
Pedro Santana Lopes,Primeiro-Ministro de Portugal,2004-07-17
Sofia Galvão,Secretário de Estado da Administração Pública,2004-07-21
Henrique de Freitas,Secretário de Estado dos Negócios Estrangeiros e Cooperação,2004-07-21
Sofia Galvão,Secretário de Estado da Presidência do Conselho de Ministros,2004-11-24
António Costa,Ministro da Administração Interna,2005-03-12
Mariano Gago,"Ministro da Ciência, Tecnologia e Ensino Superior",2005-03-12
Luís Amado,Ministro da Defesa Nacional,2005-03-12
Maria de Lurdes Rodrigues,Ministro da Educação,2005-03-12
Alberto Costa,Ministro da Justiça,2005-03-12
Pedro Silva Pereira,Ministro da Presidência,2005-03-12
António Correia de Campos,Ministro da Saúde,2005-03-12
Luís Campos e Cunha,Ministro das Finanças,2005-03-12
Augusto Santos Silva,Ministro dos Assuntos Parlamentares,2005-03-12
Diogo Freitas do Amaral,Ministro dos Negócios Estrangeiros,2005-03-12
José Sócrates,Primeiro-Ministro de Portugal,2005-03-12
Humberto Rosa,Secretário de Estado do Ambiente,2005-03-14
Bernardo Trindade,Secretário de Estado do Turismo,2005-03-14
Fernando Teixeira dos Santos,Ministro das Finanças,2005-07-21
Nuno Severiano Teixeira,Ministro da Defesa Nacional,2006-07-03
Luís Amado,Ministro dos Negócios Estrangeiros,2006-07-03
Rui Pereira,Ministro da Administração Interna,2007-05-17
José Pinto Ribeiro,Ministro da Cultura,2008-01-30
Ana Jorge,Ministro da Saúde,2008-01-30
Gabriela Canavilhas,Ministro da Cultura,2009-10-26
Augusto Santos Silva,Ministro da Defesa Nacional,2009-10-26
Isabel Alçada,Ministro da Educação,2009-10-26
Alberto Martins,Ministro da Justiça,2009-10-26
Elza Pais,Secretário de Estado da Igualdade e Migrações,2009-10-26
Miguel Macedo,Ministro da Administração Interna,2011-06-21
José Pedro Aguiar Branco,Ministro da Defesa Nacional,2011-06-21
Nuno Crato,Ministro da Educação,2011-06-21
Paula Teixeira da Cruz,Ministro da Justiça,2011-06-21
Paulo Macedo,Ministro da Saúde,2011-06-21
Miguel Relvas,Ministro dos Assuntos Parlamentares,2011-06-21
Paulo Portas,Ministro dos Negócios Estrangeiros,2011-06-21
Pedro Passos Coelho,Primeiro-Ministro de Portugal,2011-06-21
Francisco José Viegas,Secretário de Estado da Cultura,2011-06-28
João Filipe Queiró,Secretário de Estado do Ensino Superior,2011-06-28
Cecília Meireles,Secretário de Estado do Turismo,2011-06-28
Jorge Barreto Xavier,Secretário de Estado da Cultura,2012-10-26
Adolfo Mesquita Nunes,Secretário de Estado do Turismo,2013-02-02
Luís Marques Guedes,Ministro de Estado e da Presidência,2013-04-13
Luís Marques Guedes,Ministro dos Assuntos Parlamentares,2013-04-13
Maria Luís Albuquerque,Ministro das Finanças,2013-07-02
Rui Machete,Ministro dos Negócios Estrangeiros,2013-07-24
Paulo Portas,Vice-Primeiro-Ministro de Portugal,2013-07-24
Anabela Rodrigues,Ministro da Administração Interna,2014-11-19
João Calvão da Silva,Ministro da Administração Interna,2015-10-30
Teresa Morais,Ministro da Cultura,2015-10-30
Fernando Negrão,Ministro da Justiça,2015-10-30
Fernando Leal da Costa,Ministro da Saúde,2015-10-30
Carlos da Costa Neves,Ministro dos Assuntos Parlamentares,2015-10-30
Constança Urbano de Sousa,Ministro da Administração Interna,2015-11-26
Luís Capoulas Santos,Ministro da Agricultura,2015-11-26
